# Timestamp(ns);gear_cmd;accelerator_cmd;brake_cmd
1687076058312266752.000000;0.000000;-5.263158;0.000000
1687076058352901376.000000;0.000000;-5.263158;0.000000
1687076058371867904.000000;0.000000;-5.263158;0.000000
1687076058451794176.000000;0.000000;-5.263158;0.000000
1687076058472189696.000000;0.000000;-5.263158;0.000000
1687076058531620608.000000;0.000000;-5.263158;0.000000
1687076058591577088.000000;0.000000;-5.263158;0.000000
1687076058631000832.000000;0.000000;-5.263158;0.000000
1687076058691040512.000000;0.000000;-5.263158;0.000000
1687076058750950144.000000;0.000000;-5.263158;0.000000
1687076058772381440.000000;0.000000;-5.263158;0.000000
1687076058831242240.000000;0.000000;-5.263158;0.000000
1687076058871646720.000000;0.000000;-5.263158;0.000000
1687076058931540480.000000;0.000000;-5.263158;0.000000
1687076058971427072.000000;0.000000;-5.263158;0.000000
1687076059052587776.000000;0.000000;-5.263158;0.000000
1687076059091597824.000000;0.000000;-5.263158;0.000000
1687076059151129600.000000;0.000000;-5.263158;0.000000
1687076059192378112.000000;0.000000;-5.263158;0.000000
1687076059250996992.000000;0.000000;-5.263158;0.000000
1687076059292028160.000000;0.000000;-5.263158;0.000000
1687076059331865088.000000;0.000000;-5.263158;0.000000
1687076059391006208.000000;0.000000;-5.263158;0.000000
1687076059451364096.000000;0.000000;-5.263158;0.000000
1687076059490846976.000000;0.000000;-5.263158;0.000000
1687076059531924480.000000;0.000000;-5.263158;0.000000
1687076059572463360.000000;0.000000;-5.263158;0.000000
1687076059631745280.000000;0.000000;-5.263158;0.000000
1687076059674200064.000000;0.000000;-5.263158;0.000000
1687076059732131328.000000;0.000000;-5.263158;0.000000
1687076059790926848.000000;0.000000;-5.263158;0.000000
1687076059852163072.000000;0.000000;-5.263158;0.000000
1687076059871886336.000000;0.000000;-5.263158;0.000000
1687076059931472896.000000;0.000000;-5.263158;0.000000
1687076059970820096.000000;0.000000;-5.263158;0.000000
1687076060031452416.000000;0.000000;-5.263158;0.000000
1687076060091877376.000000;0.000000;-5.263158;0.000000
1687076060151822336.000000;0.000000;-5.263158;0.000000
1687076060191432960.000000;0.000000;-5.263158;0.000000
1687076060252191744.000000;0.000000;-5.263158;0.000000
1687076060311449600.000000;0.000000;-5.263158;0.000000
1687076060371809792.000000;0.000000;-5.263158;0.000000
1687076060411215616.000000;0.000000;-5.263158;0.000000
1687076060431221248.000000;0.000000;-5.263158;0.000000
1687076060491645184.000000;0.000000;-5.263158;0.000000
1687076060551190272.000000;0.000000;-5.263158;0.000000
1687076060591175936.000000;0.000000;-5.263158;0.000000
1687076060631423488.000000;0.000000;-5.263158;0.000000
1687076060692033024.000000;0.000000;-5.263158;0.000000
1687076060730872576.000000;0.000000;-5.263158;0.000000
1687076060771698944.000000;0.000000;-5.263158;0.000000
1687076060831395840.000000;0.000000;-5.263158;0.000000
1687076060891827200.000000;0.000000;-5.263158;0.000000
1687076060930873344.000000;0.000000;-5.263158;0.000000
1687076060971949568.000000;0.000000;-5.263158;0.000000
1687076061031161088.000000;0.000000;-5.263158;0.000000
1687076061091536896.000000;0.000000;-5.263158;0.000000
1687076061171283456.000000;0.000000;-5.263158;0.000000
1687076061192209152.000000;0.000000;-5.263158;0.000000
1687076061292191744.000000;0.000000;-5.263158;0.000000
1687076061331139584.000000;0.000000;-5.263158;0.000000
1687076061391913472.000000;0.000000;-5.263158;0.000000
1687076061431600896.000000;0.000000;-5.263158;0.000000
1687076061491206656.000000;0.000000;-5.263158;0.000000
1687076061552753664.000000;0.000000;-5.263158;0.000000
1687076061590985216.000000;0.000000;-5.263158;0.000000
1687076061631315712.000000;0.000000;-5.263158;0.000000
1687076061672077568.000000;0.000000;-5.263158;0.000000
